Everybody: The sheet is closed from further editing. We still need help with Pashto, Tigrinya, Amharic and the Kurdish languages. If you can help with that, get in touch with medical@refugeephrasebook.de																																						
				important: Please do not change the layout here, no new sheets - create a new document on GDrive and copy the contents for your own version. Thanks!			Principal author for Bangla, please get in touch for proofreading	Still large gaps in Pashto!	Proofread Version (Vlasta Paulic)	The entire column proofread (up until Nr. 152). Vlasta Paulic (Croatian), Vladan Borcic (Serbian). Protected.											Proofreading and vetting required												 					
German	Arabic	English		Turkish	French	Farsi/Dari	Bangla	Pashto	Albanian	Bosnian/Croatian/Serbian	Serbian	Russian	Italian	Kurdish (Sorani)	Kurdish (Kurmancî)	Swedish / Norwegian / Danish	Finnish	Icelandic	Mandinka	Woloff	Urdu	Czech / Slovak	Spanish	Hungarian	Portuguese	Greek alphabet	Romanian	Czech	Bulgarian	Macedonian	Filipino	Vietnamese	Polish 1	Slovenian	Hindi	Dutch	amharic	Korean 
Ich muss zum Arzt	أحتاج أن أرى طبيب 	I need to see a doctor		Doktora görünmem gerekiyor.	Je dois voir un médecin	باید یه دکتر ببینم	আমার একজন ডাক্তার দেখান দরকার	 زه په ډاکټر ځان  معاېٔنه کوم\ زه ډاکټر تة ځان ښاېٔمه	Me duhet nje mjek	Treba mi ljekar/ liječnik/ doktor.	Треба ми доктор.	Мне нужен врач	Ho bisogno di vedere un medico		Divê ez biçim doxtor (bijîşk).	Jag behöver en läkare/Jeg trenger en lege / jeg har brug for en læge	Minun täytyy päästä lääkäriin.				مجھے ڈاکٹرسےملنا ہے	C: Potřebuji navštívit doktora. S: Potrebujem doktora.	Necesito un médico	Orvoshoz kell mennem 	Preciso de um médico.	Πρέπει να με δει γιατρός.	Am Nevoie de un medic	Potřebuji navštívit doktora.	Трябва ми лекар.	Ми треба доктор (Mi treba doktor)	Kailangan ko ng doktor	Tôi phai di bac si.	Muszę iść do lekarza	Potrebujem zdravnika.		Ik heb een dokter nodig 		의사 선생님을 뵙고 싶습니다 
Ich muss ins Krankenhaus	أحتاج أن أذهب إلى المستشفي 	I need to go to the hospital		Hastaneye gitmem gerekiyor.	Je dois aller à l'hôpital	باید برم بیمارستان	আমার হাসপাতালে যেতে হবে	ماله هسپتال ته تګ پکار دے  \ماله هسپتال ته تله پکار دې	Duhet të shkoj ne spital	Moram u bolnicu.	Морам да идем у болницу.	Мне нужно пойти в к врачу	Ho bisogno di andare in ospedale	Debê birom nexoşxane / ده‌بێ بڕۆم نه‌خۆشخانه‌	Divê ez biçim nexweşxanê.	Jag måste till sjukhuset/Jeg må på sykehus /Jeg skal på sygehuset	Minuntäytyy päästä sairaalaan.				مجھے ہسپتال جانا ہے	C: Zavolejte mi prosím sanitku. S: Potrebujem ist do nemocnice.	Necesito ir al hospital	Kórházba kell mennem	Preciso de ir para o hospital.	Πρεπει να πάω σε νοσοκομείο!	Trebuie sa merg la spital	Potřebuji do nemocnice.	Трябва ми болница.	Морам да одам во болница (Moram da odam vo bolnica)	Kailangan kong pumunta sa ospital	Tôi phai di benh vien. 	Muszę iść do szpitala	Moram v bolnico		Ik moet naar het ziekenhuis		병원에 가야합니다 
Ich brauche einen Rettungswagen	أحتاج سيارة إسعاف	I need an ambulance		Ambulans çağırır mısınız?	J'ai besoin d'une ambulance	آمبولانس میخوام	আমার একটি অ্যাম্বুলেন্স দরকার	\ ماله اېمبولینس راولٔے ماته اېمبولینس  پکار دے	Me nevojitet nje ambulace	 Potrebno mi je vozilo hitne pomoći (Trebam kola hitne pomoći).	Потребна ми је хитна помоћ.	Мне нужна скорая помощь	Ho bisogno di un'ambulanza	Pêwîstîm be otombêlî firyakewtin heye. / پێویستیم به‌ ئۆتۆمبێڵی فڕیاکه‌وتن هه‌یه‌.	Ambulansek ji min re pêwist e.	Jag behöver en ambulans/Jeg trenger en ambulanse / jeg har brug for en ambulance	Tarvitsen ambulanssin.				مجھے ایمبولنس چاہیے	C: Zavolejte mi prosím sanitku. S: Potrebujem sanitku.	Necesito una ambulancia	Kell egy mentö	Preciso de uma ambulância.	Χρειάζομαι ασθενοφόρο.	Am nevoie de o ambulanta	Zavolejte mi prosím sanitku.	Трябва ми линейка.	Ми треба амбулантно возило (Mi treba ambulantno vozilo)	Kailangan ko ng ambulansya	Tôi can cap cuu. 	Potrzebuję karetki	Pokličite reševalce.		Ik heb een ambulance nodig		구급차를 요청합니다 
																																						
Wo kann ich dieses Rezept einlösen?	أين يمكنني أن أصرف الروشتة؟ او الوصفه الطبيه 	Where can I fill this prescription?		Bu reçeteyi nerede doldurabilirim?	Où puis-je acheter ce médicament ?	از کجا میتونم نسخه ام را بگیرم؟	কোথায় আমি প্রেসক্রিপশনে তথ্য যোগ করতে পারব?  	دا نسخہ دارو چرتا ملاویگی	Ku mund ta plotësoj këtë recete?	Gdje mogu podići lijek (lek) za ovaj recept?	Где могу подићи лек за овај рецепт?	Где можно купить лекарство по этому рецепту?	Dove posso comprare questo farmaco?		Ez li ku derê dikarim vî dermanî bibînim?	Var kan jag hämta ut ett recept/Hvor kan jeg hente medisiner? 	Mistä saan nämä reseptilääkkeet?				میں یہ نسخے کی دوائی کہاں سے حااصل کروں؟	C: Kde si mohu obstarat tyto léky? S: Kde môžem získať tieto lieky ?	¿Dónde puedo obtener esta receta?	Hol tudom kiváltani ezt a receptet?	Onde posso levantar esta receita?	Από πού μπορώ να πάρω αυτή την συνταγή?	De unde pot lua aceasta rețetă?	Kde si mohu vyzvednout medikamenty na předpis?	Къде мога да взема лекарствата от тази рецепта?	Каде можам да го подигнам овој рецепт? (Kade mozam da go podignam ovoj recept? )	Saan ako maaaring punan ang resetang ito?	Toi mua thouc nay o dau duoc?	Gdzie mogę zrealizować receptę?	Kje lahko dobim recept?		Waar kan ik dit voorschrift/recept krijgen?		처방약을 어디서 받아야 하는지요?
Wann muss ich wiederkommen?	متي يمكنني أن آتي لرؤيتك مجدداً؟	When do I have to come back?		Sizi tekrar görmek için ne zaman gelmem gerekiyor?	Quand dois-je revenir?	کی باید دوباره بیام؟	আমার আবার কখন ফেরত আসতে হবে?	 دوبارہ بہ کلا رازم	Kur duhet të vi përsëri?	Kada moram opet doći (kada moram opet da dođem)?	Када опет да дођем?	Когда мне нужно вернуться к вам?	Quando devo tornare?	Debê key bêmewe / ? ده‌بێ که‌ی بێمه‌وه‌؟	Divê ez kengî dîsa werim?	När behöver jag komma tillbaka/Når må jeg komme tilbake? / hvornår skal jeg komme tilbage?	Milloin minun pitää tulla uudelleen?				مجھے دوبارہ کب آنا ہے؟	C: Kdy mám zase přijít? S: Kedy mám prísť znovu ?	¿Cuándo tengo que volver a verle?	Mikor kell visszajonnom?	Quando tenho que voltar a vê-lo?	Πότε πρέπει να ξαναέρθω? 	Cînd trebuie să mă întorc?	Kdy mám přijít na další prohlídku?	Кога трябва да дойда отново?	Кога треба да дојдам повторно? (Koga treba da dojdam povtorno)	Kailan ko kailangang bumalik?	Bao gio toi phai quay lai?	Kiedy muszę wrócić?	Kdaj moram priti nazaj?		Wanneer moet ik terug komen?		제가 다시 와야하는지요?
Muss ich ins Krankenhaus?	هل لابد أن آتقدم الي المستشفي	Do I have to be admitted to the hospital?		Hastaneye yatmam gerekiyor mu?	Es-ce que je dois aller à l'hôpital?	 آیا باید برم بیمارستان؟	আমাকে কি হাসপাতালে ভর্তি হতে হবে? 	ھسپتال کی داخلہ پکار دہ	A duhet të shkoj në spital?	Moram li ići u bolnicu?	Морам ли у болницу?	Мне нужно лечь в больницу?	Devo andare in ospedale?	Debê birom nexoşxane / ? ده‌بێ بڕۆم نه‌خۆشخانه‌؟	Ez mecbûrim herim nexweşxanê?	Måste jag till sjukhuset?/Må jeg på sykehus? 	Pitääkö minun mennä sairaalaan?				کییا مجھے ہسپتال میں داخل ہونا ہے؟	C: Musím do nemocnice? S: Musím ísť do nemocnice ?	¿Es necesario que vaya al hospital?	Szukseges, hogy befekudjek korhazba?	Tenho que ser internado no hospital?	Πρέπει να εισαχθώ σε νοσοκομείο?	Trebuie să fiu internat în spital?	Potřebuji do nemocnice?	Трябва ли да влизам в болница?	Дали треба да ме примат во болница? (Dali treba da me primat vo bolnica)	Kailangan ko bang ma-admit sa ospital?	Toi co can phai di benh vien khong?	Czy muszę iść do szpitala?	Ali moram v bolnico?		Moet ik naar het ziekenhuis?		병원에 입원해야만 하는지요?
																																						
