	German	Arabic / Syrian Phonetic	English	French	Slovenian	Dutch	Urdu	Urdu Phonetic	Bangla / বাংলা 	Bangla Phonetic	Dari	Dari Phonetic	Pashto	Pashto Phonetic	Albanian	Bosnian / Croatian / Serbian	Polish	Macedonian	Russian	Slovak / Czech	Kurdish / (Sorani)	Bulgarian	Kurdish (Kurmanji)	Swedish / Norwegian / Danish	Finnish	Icelandic	Italian	Turkish	Spanish	Hungarian	Portuguese	Greek phonetic	Greek alphabet	Romanian	Lithuanian	Filipino	Vietnamese	Icons	Armenian	mandarin  / (chinese)
(Nr. in short section)	Grundlagen		Basic Conversation	Conversation de base	Osnovni pogovor	Basic conversatie	بنیادی بات چیت	Bunyaadi baat cheet									Podstawowe rozmówki	Основна конверзација									Conversazione di Base	Temel iletisim / konuşma	Conversación Básica	Társalgás	Conversação Básica	Vasikí Synomilía	Βασική συνομιλία	Conversație de bază	Paprasti pokalbiai					
000	Hallo	Saalam/ Merhaba	Hello	Salut	Zdravo	Hallo	سلام	Salaam	হ্যালো / সালাম	hello/salam	سلام	Salaam	 سلام	Salaam	Përshëndetje	Zdravo / Bok / Ćao	Cześć	Здраво (Zdravo)	Привет / здравствуйте prʲɪvʲˈet / zdrˈastvʊjtʲɪ	S: Ahoj / C: Ahoj	سڵاو	Zdravei / Здравей	Merheba	S: Hej / N: Hallo/Hei / D: Hej	Hei / Moi	Halló	Salve/ Ciao	Merhaba / Selam	Hola	Helló	Olá	Ya	Γεια	Salut!	Labas / Laba diena (Good day)	Kamusta	Xin chào		parev 	nǐ​hǎo
001	guten Morgen	Sabáh al-khayr	Good morning	Bonjour	Dober dan	Goedendag	صبح بخیر	Subh behkeir	শুভ সকাল / সুপ্রভাত  | স্লামালিকুম	shubho din / suprobhat | slāmālikum	صبح بخیر	Sob bekhair	سهار په خیر	Sahar pa khair	Mirëmëngjes	Dobro jutro	Dzień dobry	Добар ден (Dobar den)	Добрый день             dˈobrᵻj dʲˈenʲ	S: Dobrý deň / C: Dobrý den	به‌یانی و باش	Dobar den  /Добър ден	Roj baş	S: Goddag / N: God dag / D: Goddag	Hyvää huomenta	Góðan daginn	Buongiorno	Günaydın	Buenos días	Jó napot kívánok	Bom dia	Kaliméra	Καλημέρα	Bună ziua	Labas rytas	Magandang araw	Xin chào		pari louys	zǎo​shang​hǎo
002	guten Abend	massa Alchayr     Masa al-khayr      	Good evening	Bonsoir	Dober večer	Goedenavond	شب بخیر	shab bekheir	শুভ সন্ধ্যা	shubho sandhyā	شب بخیر	Shaw bekhair	شپه په خیر	Shpa pa Khair	Mirëmbrëma	Dobro veče / Dobra večer	Dobry wieczór	Добро вечер (Dobro vecher)	Добрый вечер           dˈobrᵻj vʲˈet͡ɕɪr	S: Dobrý večer / C: Dobrý večer	ئێواره‌ت باش	Dobar vecher/ Добър вечер	Êvar baş	S: Godkväll / N: God kveld / D: God aften	Hyvää iltaa	Góða kvöldið	Buonasera	İyi akşamlar	Buenas noches	Jó estét	Boa noite	Kaló vrádi	Καλό βράδυ	Bună seara	Labas vakaras	Magandang gabi	Chào buổi tối		pari yerego	
003	auf Wiedersehen	ma‘a 's-saláma / bye	Goodbye	Au revoir	Nasvidenje	Tot ziens / 	خدا حافظ / 	Khuda hafez	আবার দেখা হবে	abar dekha hobe	خداحافظ	khodaafez	د خدای په امان   	da khday pa aman	Mirupafshim	Doviđenja	Do widzenia	Довидување (Doviduvanje)	До свидания              də svʲɪdˈanʲɪjə	S: Dovidenia / C: Na shledanou	خواحافیز	Dovizhdane / Довиждане	Bi xatirê te/ Oxir be	S: Hejdå / N: Hadet bra / D: Farvel	Näkemiin	Vertu blessaður (m) / Vertu blessuð (f)	Arrivederci	Hoşçakal	Adiós / Hasta pronto	Viszontlátásra	Adeus	Is to epanidín	Εις το επανιδείν	La revedere	Iki	Paalam	Chào tạm biệt		tsdesutiun	zài​jiàn
004	Entschuldigung	afwan, law samáht	Excuse me	Excusez-moi / Pardon	Oprostite.	Pardon	معاف کیجیے / 	Maaf keejiye	মাফ করবেন ...	maf korben.. 	بيبخشين	Bebakhshin	وبښه 	Wubakha/Wubakhsha	Më falni	Oprostite / Izvinite	Przepraszam	Извинете (Izvinete)	Извините / Извини / Простите / Прости    ɪzvʲɪnʲˈitʲɪ / ɪzvʲɪnʲˈi / prɐstʲˈitʲɪ / prɐstʲˈi	S: Prepáčte / C: Promiňte	ببوره‌	Izvinete / Извинете	Bibore	S: Ursäkta mig.. / N: Unnskyld... / D: Undskyld..	Anteeksi	Afsakið/Fyrirgefðu	Scusa/ / Mi scusi	Özür dilerim	Disculpa/  / Perdona/  / Lo siento 	Elnézést	Desculpe	Signómi	Συγγνώμη	Pardon	Atsiprašau	Pasensya	Tôi xin lỗi.		neroghutiun	duì​bu​qǐ
005	bitte	lou tismah	Please	S'il vous plaît	Prosim	Alstublieft (aub)	مہربانی	Mehrbaani	প্লিজ / দয়া করে	please/ doya kore	لطفاً	Lutfan	لطفاً/مهربانی	lotfan	Ju lutem	Molim	Proszę	Ве молам (Ve molam)	Пожалуйста      pɐʐˈaləstə	S: Prosím / C: Prosím	ببوره‌	Molia / Моля	Ji kerema xwe re/ Kerem ke	S: Snälla / N: Vær så snill / D: Vil du venligst	-	Vinsamlegast	Per favore	Lütfen	Por favor  	Kérem	Por favor	Parakaló	Παρακαλώ	Vă rog	Prašau	Pakiusap	Xin		hramme	qǐng
006	danke	Shukran	Thank you / thanks	Merci	Hvala	Dank u; dank je; bedankt	شکریہ / 	Shukriya	ধন্যবাদ	dhonnobad	تشكر	Tashakor	مننه 	Manana	Faleminderit!	Hvala	Dziękuję	Фала (Fala)	Спасибо          spɐsʲˈibə	S: Ďakujem / C: Děkuji / Díky	سوپاس	Blagodaria / Благодаря	Spas	S: Tusen tack / N: Tusen takk / D: Mange tak	Kiitos	Takk	Grazie	Teşekkürler	Gracias 	Köszönöm	Obrigado / Obrigada	Efharistó	Ευχαριστώ	Mulțumesc	Ačiū	(Maraming) Salamat	Cảm ơn		shnurhagalutiun	xiè​xie
007	gern geschehen		You're welcome (response to thank you / thanks)	De rien	Ni za kaj	Graag gedaan											Proszę bardzo / Nie ma za co					Molia / Моля	ser çavan	S: Varsågod			Prego	bir şey değil	De nada	szívesen	De nada / Não tem de quê	Típota	Τίποτα		Nėra už ką / Prašom		Không có gì			bù​kè​qi
