Anerkennung (als Flüchtling)	grant of refugee status	octroi du statut de réfugié	manHu sifat al-lāji’	منح صفة اللاجئ	Reconocimiento (como refugiado)	mülteci statüsünün tanınması		شناخت وضعیت پناهندگی		Erkenning (als vluchteling)	শরণার্থী হিসেবে গ্রহণ 	پناہ گزین کی حیثیت کی گرانٹ	njohja e statusit refugjat	priznanje statusa izbjeglice	признати (као избеглицу)	признать как беженца(ку)	Riconoscimento di status di rifugiato	acordarea statutului de refugiat				Erkännande av flyktingstatus	D: Anerkendelse af flygtningestatus	saada pakolaisstatus	viðurkenning á stöðu sem flóttamaður		priznanie (statusu utečenca)	elismerés	reconhecimento (do estatuto de refugiado)	anagnorisi (os prosfiga)	αναγνώριση (ως πρόσφυγα)	recunoaștere (ca refugiat)	přiznání statusu uprchlíka	предоставяне на бежански статус	przyznanie statusu uchodźcy 	priznan status begunca	Pagtanggap bilang isang nanganganlong			признавање на статусот бегалец	
Asyl Anhörungstermin	asylum interview (main interview for the asylum claim)	L'audition (audition principale dans le cadre de la demande d'asile)	muqābalat talab al-lujū’	مقابلة طلب اللجوء	La entrevista para la solicitud de asilo	sığınma başvuru görüşmesi		مصاحبه پناهندگی  (مصاحبه اصلی برای درخوست پناهندگی)			রাজনৈতিক আশ্রয়ের জন্যে সাক্ষাৎকার।	پناہ کے دعوے کے لئے مرکزی انٹرویو	intervista per azilin (intervista kryesore për kërkesën për azil)	termin za saslušanje		cобеседование о предоставлении убежища	Colloquio per la garanzia di asilo politico	interviu pentru acordarea azilului politic				Asylutredning / utredning	D: Asylsamtale		vitnaleiðslur tími		pohovor so žiadateľom o azyl	a meghallgatás időpontja	audiência para apreciação de pedido de asilo	sinentefxi gia asilo (kiria sinentefxi sxetika me aitisi asilou)	συνεντευξή για άσυλο (κύρια συνέντευξη σχετικά με αίτηση ασύλου)		osobní pohovor k žádosti o azyl	интервю за предоставяне на убежище	rozmowa w sprawie wniosku o przyznanie azylu	zaslisanje/ intervju za pridobitev azila.	panayam ng asilo			интервју за азил	
Antrag stellen	to apply / to file an application	faire une demande	taqdīm talab al-lujū’	تقديم طلب اللجوء	Presentar una solicitud 	başvurmak		درخواست دادن 		Aanvraag indienen	আবেদন করা/ দাখিল করা	 درخواست جمع کرانا	të aplikosh / të depozitosh një aplikim	podnijeti zahtjev za...	предати захтев за...	подать прошение о предоставлении убежища	Presentare una domanda	a aplica/ a completa o cerere				att söka asyl	S: Ansöka / D: Ansøge/Indgive en ansøgning	hakea turvapaikkaa	að senda inn beiðni		podať žiadosť	kérvényt nyújt be (ad be)	solicitar / pedir / requerer (asilo)	kano etisi	κάνω αίτηση	a solicita	požádat o azyl	подаване на молба	złożyć wniosek o azyl 	prijaviti se/ podati prošnjo	pagsumite			да се поднесе барање за... / да се поднесе молба за...	
Asylantrag	asylum application	la demande d'asile	mu‘āmalat talab al-lujū’	معاملة طلب اللجوء	Solicitar asilo	sığınma talebi / 		درخواست پناهندگی 		asielaanvraag	রাজনৈতিক আশ্রয়ের জন্যে আবেদন	پناہ کی درخواست	aplikim për azil	zahtjev za azil	предати захтев за азил	прошение о предоставлении убежища	chiedere asilo politico	cerere de azil politic				asylansökan	S: Ansökan om asyl / D: Ansøgning om asyl	turvapaikkahakemus	hælisbeiðni		žiadosť o udelenie azylu	menedékjog iránti kérelem	pedido de asilo/ solicitação de refúgio	etisi asilou	αίτηση ασύλου	solicitare de azil	žádost o azyl	подаване на молба за убежище	wniosek o azyl	prošnja za azil	aplikasyon ng asilo			апликација за азил	
Asylverfahren	asylum proceedings	la procédure d'asile	sayru mu‘āmalat al-lujū’	سير معاملة اللجوء	El procedimiento de asilo	sığınma işlemi		فرایند پناهندگی 		asielprocedure	রাজনৈতিক আশ্রয়ের কার্যক্রম	پناہ کا عمل	procesi i azilit	postupak za odobravanje azila		процедура предоставления убежища	procedure di asilo	procedură de azil					D: Asylproces	turvapaikkaprosessi, turvapaikan käsittely	hælismeðferð		azylové konanie	menekültügyi eljárás	procedimento de (concessão de) asilo	diadikasia asilias	διαδικασία ασυλίας	procedura de azil	azylové řízení	процедура за убежище	procedura azylowa	postopek za pridobitev azila	proseso ng asilo			постапка за одобрувањето на азил	
Aufenthalt	stay (residence)	le séjour	al-iqāma	الإقامة	La residencia	oturum		اقامت		verblijf	থাকা (আশ্রয়)	رہائش	qëndrimi / vendbanim	boravak	боравак	проживание	soggiorno	rezidență				skriven i...(location)	D: Opholdssted	olla kirjoilla	aðsetur / dvöl		pobyt	tartózkodás	residência	diamoni/stegasi	διαμονή/ στέγαση	ședere	pobyt	пребиваване / жителство	pobyt	bivanje	pananatilian			престој	
Aufenthaltsgenehmigung	residence permit	le titre de séjour	ijāzatu'l-iqāma	إجازة الإقامة	El permiso de residencia	oturma izni		اجازه اقامت		verblijfsvergunning	থাকার অনুমতি	رہائشی اجازت نامہ	leja e qëndrimit	dozvola boravka	дозвола за боравак	вид на жительство	permesso di soggiorno	permis de ședere/ rezidență				uppehållstillstånd	D: Opholdstilladelse	oleskelulupa	dvalarleyfi		povolenie pobytu	tartózkodási engedély	autorização de residência	adia diamonis	άδεια διαμονής	permis de ședere	povolení k pobytu (trvalému / přechodnému)	разрешение за пребиваване	pozwolenie na pobyt (stały / czasowy)	dovoljenje za bivanje	pahintulot ng paninirahan			дозвола за престој	
Auffanglager 	reception camp	centre d'accueil de demandeurs d'asile	markiz istiqbāl al-lāji'īn	مركز استقبال اللاجئين	Centro de acogida	 / mülteci kampı				opvangcentrum	শরণার্থী গ্রহণ ক্যাম্প	استقبالیہ کیمپ	kampi i pritjes	prihvatilište za tražitelje azila	пријемни центар за азиланте	приёмный центр	campo di accoglienza	?				Asylboende	D: Modtagelseslejr		búðir		prijímací tábor	menekülttábor	centro de acolhimento	kentro ipodochis	Κέντρο υποδοχής 	centru de primire pentru solicitanții de azil	uprchlický tábor	приемствен лагер / регистрация	obóz dla uchodźców	sprejemni center	deportasiyon			прифатилиште за азиланти	
Ausweisung	deportation	l'expulsion	tarHeel	ترحيل	La expulsión / deportación	sınırdışı etme		اخراج - دیپورت		uitwijzing	বিতারন করা	ملک بدری	deportim	protjerivanje		выдворение	espulsione	deportare				Avvisning / utvisning	D: Udvisning	karkotus, pakkosiirto 	brottvísun		deportácia	kiutasítás	expulsão	apelasi	απέλαση	deportare / expulzare	vyhoštění	депортация	deportacja	izgon	deportasyon			депортација / протерување	
Beweis	evidence/proof	la preuve	ithbāt	الإثبات	La prueba	kanıt/delil		مدرک اثبات - ادله اثبات		bewijs	তথ্য-প্রমাণ	ثبوت/دلیل	prova	dokaz	доказ	свидетельство/доказательство	prova	dovadă/ probă				bevis	D: Bevis	todistus	sönnun		dôkaz	bizonyíték	prova	apodiksi/ stixia	απόδειξη/στοιχεία / 	probe	důkaz	доказателство	dowód	dokaz	ebidensiya/pruweba/patunay/katibayan			доказ	
